date,noncomm_net,comm_net,nonrept_net,noncomm_idx,comm_idx,nonrept_idx
2010-01-05,53842,-68074,14232,,,
2010-01-12,19674,-32366,12692,,,
2010-01-19,48671,-62352,13681,,,
2010-01-26,30846,-39275,8429,,,
2010-02-02,20820,-27756,6936,,,
2010-02-09,15117,-12211,-2906,,,
2010-02-16,17845,-11242,-6603,,,
2010-02-23,39245,-36275,-2970,,,
2010-03-02,63734,-66518,2784,,,
2010-03-09,48757,-52837,4080,,,
2010-03-16,48206,-61565,13359,,,
2010-03-23,57329,-69442,12113,,,
2010-03-30,55004,-65492,10488,,,
2010-04-06,56003,-62405,6402,,,
2010-04-13,52281,-57769,5488,,,
2010-04-20,34773,-51356,16583,,,
2010-04-27,20427,-42378,21951,,,
2010-05-04,13700,-42558,28858,,,
2010-05-11,13779,-78856,65077,,,
2010-05-18,-2938,-59002,61940,,,
2010-05-25,-1203,-57141,58344,,,
2010-06-01,-28556,-25839,54395,,,
2010-06-08,-25537,-35596,61133,,,
2010-06-15,-19513,-41763,61276,,,
2010-06-22,11627,-15076,3449,,,
2010-06-29,-12535,11018,1517,,,
2010-07-06,-28477,27755,722,,,
2010-07-13,-28812,39411,-10599,,,
2010-07-20,9886,2313,-12199,,,
2010-07-27,1660,2917,-4577,,,
2010-08-03,30370,-33398,3028,,,
2010-08-10,42695,-42289,-406,,,
2010-08-17,19182,-10548,-8634,,,
2010-08-24,-23034,35813,-12779,,,
2010-08-31,-56367,71699,-15332,,,
2010-09-07,-48172,62142,-13970,,,
2010-09-14,-29639,39647,-10008,,,
2010-09-21,16064,-32354,16290,,,
2010-09-28,75500,-97784,22284,,,
2010-10-05,91087,-119881,28794,,,
2010-10-12,60455,-82744,22289,,,
2010-10-19,51863,-79587,27724,,,
2010-10-26,72118,-96042,23924,,,
2010-11-02,63765,-88579,24814,,,
2010-11-09,40140,-55374,15234,,,
2010-11-16,49445,-51510,2065,,,
2010-11-23,23701,-34729,11028,,,
2010-11-30,28881,-21459,-7422,,,
2010-12-07,32832,-34831,1999,,,
2010-12-14,30657,-30776,119,,,
2010-12-21,87312,-98462,11150,,,
2010-12-28,73708,-88035,14327,,,
2011-01-04,77250,-97679,20429,,,
2011-01-11,64069,-74189,10120,,,
2011-01-18,69799,-82210,12411,,,
2011-01-25,78497,-95484,16987,,,
2011-02-01,83407,-101714,18307,,,
2011-02-08,45562,-63080,17518,,,
