# source: SEED PLACEHOLDER (run update_margin_debt.py for authoritative FINRA data)
# FINRA Margin Statistics — Debit Balances in Customers' Securities Margin Accounts (USD millions)
# Publication lag: month M released ~3rd week of M+1
date,margin_debt_usd_m
2015-01-01,465000.0
2015-02-01,463515.0
2015-03-01,462174.0
2015-04-01,460689.0
2015-05-01,459251.0
2015-06-01,457766.0
2015-07-01,456329.0
2015-08-01,454844.0
2015-09-01,453359.0
2015-10-01,451922.0
2015-11-01,450437.0
2015-12-01,449000.0
2016-01-01,453658.0
2016-02-01,458317.0
2016-03-01,462675.0
2016-04-01,467333.0
2016-05-01,471842.0
2016-06-01,476500.0
2016-07-01,481008.0
2016-08-01,485667.0
2016-09-01,490325.0
2016-10-01,494833.0
2016-11-01,499492.0
2016-12-01,504000.0
2017-01-01,515721.0
2017-02-01,527441.0
2017-03-01,538027.0
2017-04-01,549748.0
2017-05-01,561090.0
2017-06-01,572811.0
2017-07-01,584153.0
2017-08-01,595874.0
2017-09-01,607595.0
2017-10-01,618937.0
2017-11-01,630658.0
2017-12-01,642000.0
2018-01-01,665700.0
2018-02-01,666527.0
2018-03-01,667273.0
2018-04-01,668100.0
2018-05-01,668900.0
2018-06-01,652299.0
2018-07-01,636234.0
2018-08-01,619633.0
2018-09-01,603032.0
2018-10-01,586966.0
2018-11-01,570365.0
2018-12-01,554300.0
2019-01-01,556466.0
2019-02-01,558632.0
2019-03-01,560588.0
2019-04-01,562753.0
2019-05-01,564849.0
2019-06-01,567015.0
2019-07-01,569111.0
2019-08-01,571277.0
2019-09-01,573442.0
2019-10-01,575538.0
2019-11-01,577704.0
2019-12-01,579800.0
2020-01-01,545564.0
2020-02-01,511327.0
2020-03-01,479300.0
2020-04-01,512972.0
2020-05-01,545557.0
2020-06-01,579229.0
2020-07-01,611814.0
2020-08-01,645486.0
2020-09-01,679157.0
2020-10-01,711743.0
2020-11-01,745415.0
2020-12-01,778000.0
2021-01-01,794102.0
2021-02-01,810203.0
2021-03-01,824747.0
2021-04-01,840848.0
2021-05-01,856431.0
2021-06-01,872532.0
2021-07-01,888114.0
2021-08-01,904216.0
2021-09-01,920318.0
2021-10-01,935900.0
2021-11-01,922738.0
2021-12-01,910000.0
2022-01-01,881376.0
2022-02-01,852752.0
2022-03-01,826898.0
2022-04-01,798274.0
2022-05-01,770573.0
2022-06-01,741949.0
2022-07-01,714248.0
2022-08-01,685624.0
2022-09-01,657000.0
2022-10-01,648758.0
2022-11-01,640242.0
2022-12-01,632000.0
2023-01-01,637280.0
2023-02-01,642560.0
2023-03-01,647330.0
2023-04-01,652610.0
2023-05-01,657720.0
2023-06-01,663000.0
2023-07-01,669066.0
2023-08-01,675333.0
2023-09-01,681601.0
2023-10-01,687667.0
2023-11-01,693934.0
2023-12-01,700000.0
2024-01-01,718464.0
2024-02-01,736929.0
2024-03-01,754202.0
2024-04-01,772667.0
2024-05-01,790536.0
2024-06-01,809000.0
2024-07-01,809984.0
2024-08-01,811000.0
2024-09-01,812016.0
2024-10-01,813000.0
2024-11-01,814016.0
2024-12-01,815000.0
2025-01-01,832885.0
2025-02-01,850769.0
2025-03-01,866923.0
2025-04-01,884808.0
2025-05-01,902115.0
2025-06-01,920000.0
2025-07-01,934754.0
2025-08-01,950000.0
2025-09-01,965246.0
2025-10-01,980000.0
2025-11-01,995246.0
2025-12-01,1010000.0
2026-01-01,1023778.0
2026-02-01,1037556.0
2026-03-01,1050000.0
