Issuer Name	Amt Out	Ticker	Issuer 1-yr Default Probability	EBITDA to Interest Expense	Net Debt to EBITDA	Yld to Mty (Ask)	Payment Rank	Cpn	Maturity	BBG Composite	Mty Type	Currency	ISIN	Interest Coverage Ratio	Asset Class	OAS Eff Dur (Mid)	OAS Sprd (Mid)	G-Spread (Mid)	Cntry of Risk
Brazilian Government International Bond	4500000000	BRAZIL	0.001106783	#N/A Field Not Applicable	#N/A Field Not Applicable	6.238003666	Sr Unsecured	6.625	15.03.2035	BB	AT MATURITY	USD	US105756CL22	#N/A Field Not Applicable	Governments	6.742182643	248.998	205.1936	BR
Israel Government International Bond	2500000000	ISRAEL	0.000720422	#N/A Field Not Applicable	#N/A Field Not Applicable	5.273704021	Sr Unsecured	5.625	19.02.2035	A-	AT MATURITY	USD	US46514Y8B63	#N/A Field Not Applicable	Governments	6.963195754	157.124	110.6063	IL
Fresenius Medical Care AG	546500000	FMEGR	0.000418244	8.1133064	2.948701243	3.717279116	Sr Unsecured	3.75	08.04.2032	BBB-	CALLABLE	EUR	XS3036647777	4.281034003	Corporates	5.162227886	108.06	105.1775	DE
Eagle Funding Luxco Sarl	12000000000	MEXPCP	0.00465362	#N/A Field Not Applicable	#N/A Field Not Applicable	5.342631076	Sr Unsecured	5.5	17.08.2030	BBB	CALL/SINK	USD	USL2660VAA37	#N/A Field Not Applicable	Governments	2.643393278	172.639	154.4596	MX
Ma'aden Sukuk Ltd	750000000	MAADEN	3.08771E-05	68.08955769	1.550151978	5.42874435	Sr Unsecured	5.5	13.02.2035	BBB+	CALLABLE	USD	XS2998746486	17.47129466	Corporates	6.898728789	164.463	126.283	SA
Fnac Darty SA	325560000	FNACFP	0.001484127	5.104332449	2.482418153	4.457422684	Sr Unsecured	4.75	01.04.2032	BB+	CALLABLE	EUR	XS3022166493	0.676392573	Corporates	4.25043519	139.267	188.8766	FR
Petronas Capital Ltd	1600000000	PETMK	0.005130498	15.34190476	-0.865672748	4.381446378	Sr Unsecured	4.95	03.01.2031	A-	CALLABLE	USD	USY68856BD76	10.18	Corporates	4.086893825	77.154	#N/A N/A	MY
Getlink SE	658260000	GETFP	2.70785E-06	4.107843137	4.30071599	3.896571811	Secured	4.125	15.04.2030	BB+	CALLABLE	EUR	XS2937174196	2.985294118	Corporates	3.055403838	108.836	146.1734	FR
Petronas Capital Ltd	1800000000	PETMK	0.005130498	15.34190476	-0.865672748	4.96675233	Sr Unsecured	5.34	03.04.2035	A-	CALLABLE	USD	USY68856BE59	10.18	Corporates	6.931614604	115.672	#N/A N/A	MY
Nationwide Building Society	1165800000	NWIDE	0.001878865	#N/A N/A	#N/A N/A	3.523942756	Sr Preferred	3.125	18.08.2032	A+	AT MATURITY	EUR	XS3150924267	#N/A N/A	Corporates	5.681657509	90.858	82.79772	GB
Qnity Electronics Inc	1000000000	QNTELE	0.001445878	21.41538462	#N/A N/A	5.658115017	Secured	5.75	15.08.2032	BB+	CALLABLE	USD	US74743LAA89	15.63076923	Corporates	4.494950031	160.082	181.5413	US
European Union	20168803400	EU	0.000278814	#N/A Field Not Applicable	#N/A Field Not Applicable	2.679781852	Sr Unsecured	2.625	04.07.2028	AA+	AT MATURITY	EUR	EU000A4D5QM6	#N/A Field Not Applicable	Governments	2.138627738	18.136	14.33107	SNAT
