Term,Unit,Bid,Ask,Final Bid Rate,Final Ask Rate,Daycount
1,MO,3.6610,3.6660,3.6610,3.6660,ACT/360
2,MO,3.6709,3.6758,3.6709,3.6758,ACT/360
3,MO,3.6785,3.6835,3.6785,3.6835,ACT/360
6,MO,3.6903,3.6952,3.6903,3.6952,ACT/360
9,MO,3.7070,3.7120,3.7070,3.7120,ACT/360
1,YR,3.7137,3.7186,3.7137,3.7186,ACT/360
2,YR,3.6248,3.6298,3.6248,3.6298,ACT/360
3,YR,3.5794,3.5843,3.5794,3.5843,ACT/360
4,YR,3.5850,3.5899,3.5850,3.5899,ACT/360
5,YR,3.6204,3.6253,3.6204,3.6253,ACT/360
7,YR,3.7168,3.7218,3.7168,3.7218,ACT/360
9,YR,3.8091,3.8140,3.8091,3.8140,ACT/360
10,YR,3.8544,3.8594,3.8544,3.8594,ACT/360
12,YR,3.9444,3.9494,3.9444,3.9494,ACT/360
15,YR,4.0554,4.0604,4.0554,4.0604,ACT/360
20,YR,4.1409,4.1458,4.1409,4.1458,ACT/360
30,YR,4.1015,4.1065,4.1015,4.1065,ACT/360
50,YR,3.8642,3.8692,3.8642,3.8692,ACT/360
